@relation MyRelation

@attribute id numeric
@attribute User string
@attribute tweet string
@attribute date date yyyy/MM/dd

@data
5.0185581258815488E17,Teletwitteiro,'RT @gcamarotti: PSB decide indicar Beto Albuquerque para vice de Marina. http://t.co/OdkXx351AT',2014/08/19
5.0185581622002483E17,Pedro_BMourao,'Fábrica de aplicativos ajuda a transformar uma boa ideia em um software para celular http://t.co/EEryyQBVHS',2014/08/19
5.0185582268345958E17,Brasilprodutivo,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/PAYTSliir0',2014/08/19
5.0185582449160602E17,cacarvalho,'RT @gilgiardelli: A @RevistaEpoca fez uma entrevista colaborativa com o CEO do Twitter. http://t.co/aXzKIq8mXw via @bferrari #nota10 http:/…',2014/08/19
5.0185582577464525E17,minutoaminuto,'MP investiga rede de favorecimento à fuga de Roger Abdelmassih - http://t.co/RdHFYLY6dd http://t.co/iQtaeov9QW',2014/08/19
5.0185583760257843E17,BrazilQuestion,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/4PIgTyF0CE',2014/08/19
5.0185583974170214E17,NMach20,'Estudo diz que há mais elefantes africanos sendo mortos do que nascendo http://t.co/PbzCUqEWmX',2014/08/19
5.0185584599578624E17,NMach20,'Estudo diz que há mais elefantes africanos sendo mortos do que nascendo http://t.co/BSNjKSBnya',2014/08/19
5.0185585167488205E17,phaeldesouzaa,'@CrisFariass nos smp esperamos passar o jogo na globo.',2014/08/19
5.0185585501735731E17,benevides_cris,'2014: Marina Silva e a aliança com PSB, entrevista O Globo: http://t.co/uod4Ox4NPB',2014/08/19
5.0185585796215603E17,benevides_cris,'2014: Marina Silva e a aliança com PSB, entrevista O Globo: http://t.co/yN2zdaoBHS',2014/08/19
5.0185586040281907E17,Canedense,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/CjwCfaGoeJ',2014/08/19
5.018558636705833E17,LauraGassert,'@BlueTachihara @CarlyleLuc eu achei engraçada a noticia como se ela insinuasse alguma relação de amizade globo x pt',2014/08/19
5.0185586939580826E17,fckyeahumbelle,'RT @Carollfia: Imagina a Megan morando na Gambiarra gente MegaviIsReal eu quero tia globo, faz acontecer rsrs!!',2014/08/19
5.0185587162719027E17,Ernesaks,'RT @cachicorj: OBAMA DIZ: DIFERENÇA ENTRE FORÇAS DE SEGURANÇA E MILITARES DEVEM SER CLARAS #PEC51 já , por uma polícia de  1º mundo http://…',2014/08/19
5.0185587484382003E17,ConselhoBrasil,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/vwWEHtWsLw',2014/08/19
5.0185588668853453E17,VotoConsciente_,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/u5JbRQ6Kw5',2014/08/19
5.018558992131113E17,redtubedokpop,'sdds globo fazendo novelas onde as mulheres saem no tapa de uma maneira agressiva',2014/08/19
5.0185590735847014E17,marconovanta,'Globo Esporte 05/10/2007 - Flamengo 1 x 0 Sao Paulo\nhttps://t.co/85yJEOZATy',2014/08/19
5.0185590958142259E17,alicepauletos,'G1 - Polícia mata outro jovem negro no Missouri - notícias em Mundo http://t.co/UE1Mlm1Nh3?? via @greicevitoref',2014/08/19
5.018559171689513E17,RegiBeta,'RT @vitorslima: Não concordo!!!! http://t.co/Vpc2bhV0',2014/08/19
5.0185592377458278E17,Cuiaba_Brasil,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/HVUHPy0MBD',2014/08/19
5.0185592589307904E17,_paulams,'http://t.co/5xGGTP4fJ8 eita porra :O',2014/08/19
5.0185593004545638E17,kelfrenn,'@acazzo @canalglobonews @LeilaneNeubarth \nSe dependêssemos das Organizações Globo, não saberíamos. http://t.co/mntGBIbhKO',2014/08/19
5.0185593103948595E17,euglison,'Acompanhe ao vivo o jogo Real Madrid x Atlético de Madrid - Supercopa da Espanha no http://t.co/TOVjKbe3ub http://t.co/uuzVLRtXAG',2014/08/19
5.0185593308632269E17,hallesclaudio,'RT @LindbergFarias: Acompanhe agora Lindberg #aovivo no RJTV, da TV Globo',2014/08/19
5.0185593736029798E17,carvalho_dbora,'RT @gcamarotti: PSB decide indicar Beto Albuquerque para vice de Marina. http://t.co/OdkXx351AT',2014/08/19
5.0185594871809229E17,DJMikko_,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/PXv8yf3RFV',2014/08/19
5.0185595071497011E17,elsonfarias,'Lá vai o Beto.\nTacale pau, Beto! http://t.co/pdTzZEEV0U',2014/08/19
5.0185596157782835E17,Deliriosdabola,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/pLcYefMTiG',2014/08/19
5.0185596829328998E17,geojorgel,'De que adianta entrevista da globo?  Nao temos candidato em quem votar mesmo no RJ, MAS TEMOS UM DIREITO OBRIGATÕRIO, MEU VOTO É NULO!',2014/08/19
5.0185597730647245E17,IcaroVeira09,'Acompanhe ao vivo o jogo Real Madrid x Atlético de Madrid - Supercopa da Espanha no http://t.co/UeSfGQ7CXw http://t.co/Lf6QY3MYKX',2014/08/19
5.0185598442838835E17,sourmeline,'RT @jocaterron: Meu romance A Tristeza Extraordinária do Leopardo-das-Neves é finalista do Prêmio São Paulo de Literatura: http://t.co/xOOR…',2014/08/19
5.0185598647520461E17,Discurso_Brasil,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/nmSufEQODL',2014/08/19
5.0185598788072243E17,fcnerovieira,'Não, não parece. \nhttp://t.co/8iBkFxBLxT',2014/08/19
5.0185598808204083E17,_AmandaEleven,'Minha irmã postou uma foto com o Pai ai ganho 36 curtidas ai agora Pai ta achando que ta na globo \' kkkkkk',2014/08/19
5.0185599646185882E17,benevides_cris,'2014: Marina Silva e a aliança com PSB, entrevista O Globo http://t.co/gq7iRwFzAt',2014/08/19
